School District Name,% Teaches CS,Schools in Dist,District Student Population,Responding %
A-H-S-T COMM SCHOOL DISTRICT,0.00%,2,640,50.00%
ADAIR-CASEY COMM SCHOOL DISTRICT,0.00%,2,300,50.00%
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,25.00%,4,1657,50.00%
AGWSR COMM SCHOOL DISTRICT,0.00%,5,608,20.00%
AKRON WESTFIELD COMM SCHOOL DISTRICT,33.33%,3,553,33.33%
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,0.00%,1,107,100.00%
ALBIA COMM SCHOOL DISTRICT,60.00%,5,1219,60.00%
ALBURNETT COMM SCHOOL DISTRICT,33.33%,3,653,33.33%
ALDEN COMM SCHOOL DISTRICT,0.00%,1,267,100.00%
ALGONA COMM SCHOOL DISTRICT,0.00%,5,1441,20.00%
ALLAMAKEE COMM SCHOOL DISTRICT,20.00%,5,1140,20.00%
ALTA COMM SCHOOL DISTRICT,0.00%,2,556,50.00%
AMES COMM SCHOOL DISTRICT,12.50%,8,4433,25.00%
ANAMOSA COMM SCHOOL DISTRICT,33.33%,3,1282,66.67%
ANDREW COMM SCHOOL DISTRICT,0.00%,2,174,0.00%
ANKENY COMM SCHOOL DISTRICT,18.75%,16,10593,56.25%
APLINGTON-PARKERSBURG COMM SCHOOL DISTRICT,25.00%,4,868,75.00%
AR-WE-VA COMM SCHOOL DISTRICT,0.00%,2,237,50.00%
ATLANTIC COMM SCHOOL DISTRICT,50.00%,4,1531,75.00%
AUDUBON COMM SCHOOL DISTRICT,50.00%,2,576,50.00%
AURELIA COMM SCHOOL DISTRICT,0.00%,2,262,0.00%
BALLARD COMM SCHOOL DISTRICT,25.00%,4,1732,50.00%
BATTLE CREEK-IDA GROVE COMM SCHOOL DISTRICT,33.33%,3,634,66.67%
BAXTER COMM SCHOOL DISTRICT,0.00%,2,459,100.00%
BCLUW COMM SCHOOL DISTRICT,0.00%,3,641,33.33%
BEDFORD COMM SCHOOL DISTRICT,0.00%,2,479,50.00%
BELLE PLAINE COMM SCHOOL DISTRICT,100.00%,2,566,100.00%
BELLEVUE COMM SCHOOL DISTRICT,50.00%,2,694,50.00%
BELMOND-KLEMME COMM SCHOOL DISTRICT,66.67%,3,784,100.00%
BENNETT COMM SCHOOL DISTRICT,0.00%,1,86,0.00%
BENTON COMM SCHOOL DISTRICT,0.00%,6,1548,50.00%
BETTENDORF COMM SCHOOL DISTRICT,12.50%,8,4479,37.50%
BONDURANT-FARRAR COMM SCHOOL DISTRICT,50.00%,4,1847,50.00%
BOONE COMM SCHOOL DISTRICT,33.33%,6,2071,66.67%
BOYDEN-HULL COMM SCHOOL DISTRICT,50.00%,2,660,50.00%
