Grade Band,Teaches CS?,School District Name,School Name,School Type (School Stats),School Year,Stage El,Stage Hi,Stage Mi,State,Students,Teaches Cs
K-8,No,A-H-S-T COMM SCHOOL DISTRICT,A-H-S-T HIGH SCHOOL,public,2017,0,1,1,IA,324,No
K-8,,A-H-S-T COMM SCHOOL DISTRICT,A-H-S-T ELEMENTARY SCHOOL,public,2017,1,0,0,IA,316,
K-8,No,ADAIR-CASEY COMM SCHOOL DISTRICT,ADAIR-CASEY JR-SR HIGH SCHOOL,public,2017,0,1,1,IA,128,HN
K-8,,ADAIR-CASEY COMM SCHOOL DISTRICT,ADAIR-CASEY ELEMENTARY SCHOOL,public,2017,1,0,0,IA,172,
8-12,Yes,ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,ADM SENIOR HIGH SCHOOL,public,2017,0,1,0,IA,483,Yes
K-8,No,ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,DESOTO INTERMEDIATE SCHOOL,public,2017,1,0,0,IA,365,No
K-8,,ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,ADEL ELEMENTARY SCHOOL,public,2017,1,0,0,IA,459,
K-8,,ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,ADM MIDDLE SCHOOL,public,2017,0,0,1,IA,350,
8-12,No,AGWSR COMM SCHOOL DISTRICT,AGWSR HIGH SCHOOL,public,2017,0,1,0,IA,168,HN
K-8,,AGWSR COMM SCHOOL DISTRICT,AGWSR ELEMENTARY AT WELLSBURG,public,2017,1,0,0,IA,76,
K-8,,AGWSR COMM SCHOOL DISTRICT,THE COUGARS DEN,public,2017,1,0,0,IA,61,
K-8,,AGWSR COMM SCHOOL DISTRICT,AGWSR MIDDLE SCHOOL,public,2017,0,0,1,IA,103,
K-8,,AGWSR COMM SCHOOL DISTRICT,AGWSR ELEMENTARY SCHOOL,public,2017,1,0,0,IA,200,
8-12,Yes,AKRON WESTFIELD COMM SCHOOL DISTRICT,AKRON WESTFIELD SENIOR HIGH SCHOOL,public,2017,0,1,0,IA,159,HY
K-8,,AKRON WESTFIELD COMM SCHOOL DISTRICT,AKRON WESTFIELD ELEMENTARY SCHOOL,public,2017,1,0,0,IA,283,
K-8,,AKRON WESTFIELD COMM SCHOOL DISTRICT,AKRON WESTFIELD MIDDLE SCHOOL,public,2017,0,0,1,IA,111,
K-8,No,ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,ALBERT CITY-TRUESDALE ELEMENTARY SCHOOL,public,2017,1,0,0,IA,107,No
8-12,Yes,ALBIA COMM SCHOOL DISTRICT,ALBIA HIGH SCHOOL,public,2017,0,1,0,IA,358,HY
K-8,Yes,ALBIA COMM SCHOOL DISTRICT,ALBIA MIDDLE SCHOOL,public,2017,0,0,1,IA,165,Yes
K-8,Yes,ALBIA COMM SCHOOL DISTRICT,LINCOLN CENTER,public,2017,1,0,1,IA,353,Yes
K-8,,ALBIA COMM SCHOOL DISTRICT,GRANT CENTER,public,2017,1,0,0,IA,291,
K-8,,ALBIA COMM SCHOOL DISTRICT,KENDALL CENTER,public,2017,1,0,0,IA,52,
8-12,Yes,ALBURNETT COMM SCHOOL DISTRICT,ALBURNETT SENIOR HIGH SCHOOL,public,2017,0,1,0,IA,207,HY
